Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Rokinon,AF 50mm f/1.4 FE,2016,700,585,98,67,1.4,50,0,0,0,Full-Frame
Rokinon,Xeen 135mm T/2.2,2016,2195,2500,122,118,2.2,135,0,1,1,Full-Frame
Samyang,14mm Ultra Wide-Angle f/2.8 IF ED UMC,2016,329,552,96.1,87,2.8,14,0,0,0,APS-C
Samyang,8mm f/3.5 HD Fisheye,2009,279,428,77.3,75,3.5,8,0,0,0,APS-C
Samyang,135mm f/2.0 ED UMC,2015,499,815,120,82,2,135,0,0,0,Full-Frame
Samyang,85mm f/1.4 Aspherical,2009,289,520,72.2,78,1.4,85,0,0,0,Full-Frame
Schneider,PC-TS Super-Angulon 28mm f/4.5 HM Aspheric,2014,8288,1610,144.78,124.968,4.5,28,0,0,0,Full-Frame
Schneider,PC-TS Super-Angulon 50mm f/2.8 HM,2010,3365,1400,107.95,129.032,2.8,50,0,0,0,Full-Frame
Schneider,PC-TS Makro-Symmar 90mm f/4.5 HM,2010,3180,1110,138.684,107.95,4.5,90,0,0,0,Full-Frame
Sigma,19mm f/2.8 DN Art,2012,199,150,45.72,60.706,2.8,19,0,0,0,Micro Four Thirds
Sigma,20mm f/1.4 DG HSM Art,2015,899,950,129.794,90.678,1.4,20,0,0,0,Full-Frame
Sigma,24mm f/1.4 DG HSM Art,2015,850,665,90.17,85.09,1.4,24,0,0,0,Full-Frame
Sigma,30mm f/2.8 DN Art,2012,199,150,40.386,60.706,2.8,30,0,0,0,Micro Four Thirds
Sigma,30mm f/1.4 DC Contemporary,2016,339,265,73.406,64.77,1.4,30,0,0,0,APS-C
Sigma,35mm f/1.4 DG HSM Art,2012,899,665,93.98,76.962,1.4,35,0,0,0,Full-Frame
Sigma,50mm f/1.4 DG HSM Art,2014,949,815,99.822,85.344,1.4,50,0,0,0,Full-Frame
Sigma,60mm f/2.8 DN Art,2012,209,150,55.88,60.96,2.8,60,0,0,0,Micro Four Thirds
Sigma,85mm f/1.4 EX DG HSM,2010,969,725,86.36,86.36,1.4,85,0,0,0,Full-Frame
Sigma,120-300mm f/2.8 DG OS HSM Sport,2012,3599,3390,291.084,121.412,2.8,120-300,1,1,0,Full-Frame
Sigma,24-35mm f/2 DG HSM Art,2015,999,941,121.92,86.36,2,24-35,1,0,0,Full-Frame
Sigma,150-600mm f/5-6.3 DG OS HSM,2015,989,1950,259,104,5,150-600,1,1,0,Full-Frame
Sigma,150-600mm f/5-6.3 DG OS HSM Sport,2015,1999,2860,290,122,5,150-600,1,1,0,Full-Frame
Sigma,85mm f/1.4 DG HSM Art,2016,1199,,126.2,94.7,1.4,85,0,0,0,Full-Frame
Sigma,12-24mm f/4 DG HSM Art,2016,1599,1150,131.5,102,4,12-24,1,0,0,Full-Frame
Sigma,500mm f/4 DG OS HSM Sport,2016,5999,3310,380.3,144.8,4,500,0,1,0,Full-Frame
Sigma,50-100mm f/1.8 DC HSM Art,2016,1099,1490,170.7,93.5,1.8,50-100,1,0,0,APS-C
Sony,FE 28mm f/2,2015,448,200,59.944,64.008,2,28,0,0,0,Full-Frame
Sony,Sonnar T* FE 35mm f/2.8 ZA,2013,798,120,36.576,61.468,2.8,35,0,0,0,Full-Frame
Sony,Distagon T* FE 35mm f/1.4 ZA,2015,1598,630,112.014,78.486,1.4,35,0,0,0,Full-Frame
Sony,FE 50mm f/1.8,2016,248,186,59.436,68.58,1.8,50,0,0,0,Full-Frame
Sony,Sonnar T* FE 55mm f/1.8 ZA,2013,998,281,70.612,64.516,1.8,55,0,0,0,Full-Frame
Sony,FE 85mm f/1.4 GM,2016,1798,820,107.442,89.408,1.4,85,0,0,0,Full-Frame
Sony,FE 90mm f/2.8 Macro G OSS,2015,602,130.556,130.556,78.994,2.8,90,0,1,0,Full-Frame
Sony,Vario-Tessar T* FE 16-35mm f/4 ZA OSS,2014,1348,518,98.552,77.978,4,16-36,1,1,0,Full-Frame
Sony,FE 24-240mm f/3.5-6.3 OSS,2015,998,780,118.618,80.518,6.3,24-240,1,1,0,Full-Frame
Sony,Vario-Tessar T* FE 24-70mm f/4 ZA OSS,2013,1198,430,944.88,72.898,4,24-70,1,1,0,Full-Frame
Sony,FE 24-70mm f/2.8 GM,2016,2198,886,131.075,87.63,2.8,24-70,1,1,0,Full-Frame
Sony,FE PZ 28-135mm f/4 G OSS,2014,2498,1215,165.1,101.6,4,28-135,1,1,0,Full-Frame
Sony,FE 70-200mm f/4.0 G OSS,2013,1498,840,175.006,80.01,4,70-200,1,1,0,Full-Frame
Sony,FE 70-200mm f/2.8 GM OSS,2016,3000,1480,199.898,87.884,2.8,70-200,1,1,0,Full-Frame
Sony,FE 70-300mm f/4.5-5.6G OSS,2016,1198,854,143.51,84.074,5.6,70-300,1,1,0,Full-Frame
Sony,Planar T* FE 50mm f/1.4 ZA,2016,1498,778,108,83.5,1.4,50,0,0,0,Full-Frame
Tamron,SP 35mm f/1.8 Di VC USD,2015,599,450.77,78.74,80.518,1.8,35,0,1,0,Full-Frame
Tamron,SP 45mm f/1.8 Di VC USD,2015,599,498.95,88.9,3.17,1.8,45,0,1,0,Full-Frame
Tamron,SP 90mm f/2.8 Di Macro 1:1 VC USD,2012,749,550,114.554,76.454,2.8,90,0,1,0,Full-Frame
Tamron,SP 150-600mm f/5-6.3 Di VC USD,2013,1069,1950,257.81,105.664,6.3,150-600,1,1,0,Full-Frame
Tamron,SP 15-30mm f/2.8 Di VC USD,2014,1199,1100,143.002,98.298,2.8,15-30,1,1,0,Full-Frame
Tamron,SP 24-70mm f/2.8 Di VC USD,2012,1299,825,116.84,88.9,2.8,24-70,1,1,0,Full-Frame
Tamron,28-300mm f/3.5-6.3 Di VC PZD,2014,849,540,96.012,74.422,6.3,28-300,1,1,0,Full-Frame
Tamron,SP 70-200mm f/2.8 Di VC USD,2012,1499,1470,188.214,85.852,2.8,70-200,1,1,0,Full-Frame
Tamron,SP 70-300mm f/4-5.6 Di VC USD,2010,449,765,149.86,81.534,5.6,70-300,1,1,0,Full-Frame
Tamron,AF 28-75mm f2.8 XR DI LD,1992,499,508,91.9,73,2.8,28-75,1,0,0,Full-Frame
Tamron,SP 150-600mm f/5-6.3 Di VC USD G2,2016,1399,2010,260.2,108.4,5,150-600,1,1,0,Full-Frame
